School Name,District Name (School),County Name (School)
Andrew Carnegie Middle (San Juan Unified),San Juan Unified,Sacramento
Andrew Jackson Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Andrew Jackson Elementary (Desert Sands Unified),Desert Sands Unified,Riverside
Andrew Jackson Elementary (Selma Unified),Selma Unified,Fresno
Andrew N. Christensen Middle (Livermore Valley Joint Unified),Livermore Valley Joint Unified,Alameda
Andrew P. Hill High (East Side Union High),East Side Union High,Santa Clara
Andros Karperos (Yuba City Unified),Yuba City Unified,Sutter
Angel's Gate (Continuation) (Los Angeles Unified),Los Angeles Unified,Los Angeles
Angeles Mesa Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Angelo Rodriguez High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Angier Elementary (San Diego Unified),San Diego Unified,San Diego
Animo College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Ellen Ochoa Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Inglewood Charter High (Inglewood Unified),Inglewood Unified,Los Angeles
Animo Jackie Robinson High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo James B. Taylor Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Jefferson Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Leadership High (Lennox),Lennox,Los Angeles
Animo Mae Jemison Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Pat Brown (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Phillis Wheatley Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Ralph Bunche High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo South Los Angeles Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Venice Charter High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Watts College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Western Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Animo Westside Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ann B. Leavenworth (Fresno Unified),Fresno Unified,Fresno
Ann Sobrato High (Morgan Hill Unified),Morgan Hill Unified,Santa Clara
Ann Soldo Elementary (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Ann Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Anna A. Borba Fundamental Elementary (Chino Valley Unified),Chino Valley Unified,San Bernardino
Anna Hause Elementary (Beaumont Unified),Beaumont Unified,Riverside
Anna Kirchgater Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Anna Kyle Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Anna M. Glazier Elementary (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Anna McKenney Intermediate (Marysville Joint Unified),Marysville Joint Unified,Yuba
Anna Yates Elementary (Emery Unified),Emery Unified,Alameda
Annalee Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Annandale Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Anne Darling Elementary (San Jose Unified),San Jose Unified,Santa Clara
Annie E. Cheney Kindergarten (Coalinga-Huron Unified),Coalinga-Huron Unified,Fresno
Annie Pennycook Elementary (Vallejo City Unified),Vallejo City Unified,Solano
Annie R. Mitchell (Visalia Unified),Visalia Unified,Tulare
Ansel Adams (Lodi Unified),Lodi Unified,San Joaquin
Ansgar Larsen Elementary (Hueneme Elementary),Hueneme Elementary,Ventura
Antelope Community Day (Antelope Elementary),Antelope Elementary,Tehama
Antelope Creek Elementary (Rocklin Unified),Rocklin Unified,Placer
Antelope Crossing Middle (Dry Creek Joint Elementary),Dry Creek Joint Elementary,Placer
Antelope Elementary (Keppel Union Elementary),Keppel Union Elementary,Los Angeles
Antelope Elementary (Eastern Sierra Unified),Eastern Sierra Unified,Mono
Antelope Elementary (Antelope Elementary),Antelope Elementary,Tehama
Antelope High (Roseville Joint Union High),Roseville Joint Union High,Placer
Antelope Hills Elementary (Murrieta Valley Unified),Murrieta Valley Unified,Riverside
Antelope Meadows Elementary (Dry Creek Joint Elementary),Dry Creek Joint Elementary,Placer
Antelope Valley High (Antelope Valley Union High),Antelope Valley Union High,Los Angeles
Antelope Valley Learning Academy (Palmdale Elementary),Palmdale Elementary,Los Angeles
Antelope View Charter (Center Joint Unified),Center Joint Unified,Sacramento
Anthony C. Traina Elementary (Jefferson Elementary),Jefferson Elementary,San Joaquin
Anthony G. Bacich Elementary (Kentfield Elementary),Kentfield Elementary,Marin
Anthony Spangler Elementary (Milpitas Unified),Milpitas Unified,Santa Clara
Anthony W. Ochoa Middle (Hayward Unified),Hayward Unified,Alameda
Antioch Charter Academy (Antioch Unified),Antioch Unified,Contra Costa
Antioch Charter Academy II (Antioch Unified),Antioch Unified,Contra Costa
Antioch High (Antioch Unified),Antioch Unified,Contra Costa
Antioch Middle (Antioch Unified),Antioch Unified,Contra Costa
Antonio Del Buono Elementary (Gilroy Unified),Gilroy Unified,Santa Clara
Anza Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Anza Elementary (Torrance Unified),Torrance Unified,Los Angeles
Anzar High (Aromas/San Juan Unified),Aromas/San Juan Unified,San Benito
APEX Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Apollo High (East Side Union High),East Side Union High,Santa Clara
Apollo High (Simi Valley Unified),Simi Valley Unified,Ventura
Apperson Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Apple Academy Charter Public (Los Angeles Unified),Los Angeles Unified,Los Angeles
Apple Blossom (Twin Hills Union Elementary),Twin Hills Union Elementary,Sonoma
Apple Valley High (Apple Valley Unified),Apple Valley Unified,San Bernardino
Applied Technology Center (Montebello Unified),Montebello Unified,Los Angeles
Apricot Valley Elementary (Patterson Joint Unified),Patterson Joint Unified,Stanislaus
April Lane Elementary (Yuba City Unified),Yuba City Unified,Sutter
Aptitud Community Academy at Goss (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
Aptos High (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Aptos Junior High (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Aptos Middle (San Francisco Unified),San Francisco Unified,San Francisco
Aragon Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aragon High (San Mateo Union High),San Mateo Union High,San Mateo
Ararat Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Arboga Elementary (Marysville Joint Unified),Marysville Joint Unified,Yuba
Arbolita Elementary (La Habra City Elementary),La Habra City Elementary,Orange
Arbuckle Alternative High (Continuation) (Pierce Joint Unified),Pierce Joint Unified,Colusa
Arbuckle Elementary (Pierce Joint Unified),Pierce Joint Unified,Colusa
Arcade Fundamental Middle (San Juan Unified),San Juan Unified,Sacramento
Arcadia High (Arcadia Unified),Arcadia Unified,Los Angeles
Arcata Elementary (Arcata Elementary),Arcata Elementary,Humboldt
Arcata High (Northern Humboldt Union High),Northern Humboldt Union High,Humboldt
"Architecture, Construction & Engineering Charter High (ACE) (Oxnard Union High)",Oxnard Union High,Ventura
Arcohe Elementary (Arcohe Union Elementary),Arcohe Union Elementary,Sacramento
Arden Middle (San Juan Unified),San Juan Unified,Sacramento
Ardenwood Elementary (Fremont Unified),Fremont Unified,Alameda
Ardis G. Egan Junior High (Los Altos Elementary),Los Altos Elementary,Santa Clara
Arellanes (Don Juan Bautista) Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Arellanes Junior High (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Arena Elementary (Arena Union Elementary),Arena Union Elementary,Mendocino
Arena High (Continuation) (El Segundo Unified),El Segundo Unified,Los Angeles
Argonaut Elementary (Saratoga Union Elementary),Saratoga Union Elementary,Santa Clara
Argonaut High (Amador County Unified),Amador County Unified,Amador
Argonne Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Argus High (Continuation) (Ceres Unified),Ceres Unified,Stanislaus
ARISE High (Oakland Unified),Oakland Unified,Alameda
Arizona Middle (Alvord Unified),Alvord Unified,Riverside
Ark Independent Studies (Santa Cruz City High),Santa Cruz City High,Santa Cruz
Arlanza Elementary (Alvord Unified),Alvord Unified,Riverside
Arlene Hein Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Arleta High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Arlie F. Hutchinson Middle (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Arlington Elementary (Torrance Unified),Torrance Unified,Los Angeles
Arlington Heights Elementary (San Juan Unified),San Juan Unified,Sacramento
Arlington Heights Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Arlington High (Riverside Unified),Riverside Unified,Riverside
Arma J. Shull Elementary (Bonita Unified),Bonita Unified,Los Angeles
Armada Elementary (Moreno Valley Unified),Moreno Valley Unified,Riverside
Armijo High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Arminta Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Armona Elementary (Armona Union Elementary),Armona Union Elementary,Kings
Armstrong Elementary (Pomona Unified),Pomona Unified,Los Angeles
Arnold Adreani Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Arnold O. Beckman High (Tustin Unified),Tustin Unified,Orange
Aromas (Aromas/San Juan Unified),Aromas/San Juan Unified,San Benito
Arovista Elementary (Brea-Olinda Unified),Brea-Olinda Unified,Orange
Arrow High (Continuation) (Charter Oak Unified),Charter Oak Unified,Los Angeles
Arrowhead Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Arrowview Middle (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Arroyo Elementary (Ontario-Montclair),Ontario-Montclair,San Bernardino
Arroyo Elementary (Tustin Unified),Tustin Unified,Orange
Arroyo Elementary (Simi Valley Unified),Simi Valley Unified,Ventura
Arroyo Elementary (Pomona Unified),Pomona Unified,Los Angeles
Arroyo Grande High (Lucia Mar Unified),Lucia Mar Unified,San Luis Obispo
Arroyo High (El Monte Union High),El Monte Union High,Los Angeles
Arroyo High (San Lorenzo Unified),San Lorenzo Unified,Alameda
Arroyo Paseo Charter High (San Diego Unified),San Diego Unified,San Diego
Arroyo Seco Elementary (Livermore Valley Joint Unified),Livermore Valley Joint Unified,Alameda
Arroyo Seco Junior High (William S. Hart Union High),William S. Hart Union High,Los Angeles
Arroyo Seco Museum Science (Los Angeles Unified),Los Angeles Unified,Los Angeles
Arroyo Valley High (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Arroyo Verde Elementary (Redlands Unified),Redlands Unified,San Bernardino
Arroyo Vista Charter (Chula Vista Elementary),Chula Vista Elementary,San Diego
Arroyo Vista Elementary (Capistrano Unified),Capistrano Unified,Orange
Arroyo Vista Elementary (South Pasadena Unified),South Pasadena Unified,Los Angeles
Arroyo Vista Middle (Capistrano Unified),Capistrano Unified,Orange
Arroyo West Elementary (Moorpark Unified),Moorpark Unified,Ventura
Art Freiler (Tracy Joint Unified),Tracy Joint Unified,San Joaquin
Art Haycox Elementary (Hueneme Elementary),Hueneme Elementary,Ventura
Artesia High (ABC Unified),ABC Unified,Los Angeles
Arthur A. Benjamin Health Professions High (Sacramento City Unified),Sacramento City Unified,Sacramento
Arthur C. Butler Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Arthur E. Mills Intermediate (Firebaugh-Las Deltas Unified),Firebaugh-Las Deltas Unified,Fresno
Arthur E. Wright Middle (Las Virgenes Unified),Las Virgenes Unified,Los Angeles
Arthur F. Corey Elementary (Buena Park Elementary),Buena Park Elementary,Orange
Arthur Hapgood Elementary (Lompoc Unified),Lompoc Unified,Santa Barbara
Arthur S. Dudley Elementary (Center Joint Unified),Center Joint Unified,Sacramento
Arts In Action Community Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Arturo Sanchez Elementary (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Arundel Elementary (San Carlos Elementary),San Carlos Elementary,San Mateo
Arvin High (Kern High),Kern High,Kern
ASA Charter (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
"Asawa (Ruth) SF Sch of the Arts, A Public School (San Francisco Unified)",San Francisco Unified,San Francisco
ASCEND (Oakland Unified),Oakland Unified,Alameda
Ascot Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ashley Falls Elementary (Del Mar Union Elementary),Del Mar Union Elementary,San Diego
Aspen Elementary (Conejo Valley Unified),Conejo Valley Unified,Ventura
Aspire Alexander Twilight College Preparatory Academy (San Juan Unified),San Juan Unified,Sacramento
Aspire Alexander Twilight Secondary Academy (San Juan Unified),San Juan Unified,Sacramento
Aspire Antonio Maria Lugo Academy (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Aspire APEX Academy (Stockton Unified),Stockton Unified,San Joaquin
Aspire Benjamin Holt College Preparatory Academy (Lodi Unified),Lodi Unified,San Joaquin
Aspire Berkley Maynard Academy (Oakland Unified),Oakland Unified,Alameda
Aspire California College Preparatory Academy (Alameda County Office of Education),Alameda County Office of Education,Alameda
Aspire Capitol Heights Academy (Sacramento City Unified),Sacramento City Unified,Sacramento
Aspire Centennial College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire College Academy (Oakland Unified),Oakland Unified,Alameda
Aspire Community Day (Hemet Unified),Hemet Unified,Riverside
Aspire East Palo Alto Charter (Ravenswood City Elementary),Ravenswood City Elementary,San Mateo
Aspire ERES Academy (Oakland Unified),Oakland Unified,Alameda
Aspire Firestone Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Gateway Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Golden State College Preparatory Academy (Oakland Unified),Oakland Unified,Alameda
Aspire Huntington Park Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Inskeep Academy Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Juanita Tate Academy Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Junior Collegiate Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Aspire Langston Hughes Academy (Stockton Unified),Stockton Unified,San Joaquin
Aspire Lionel Wilson College Preparatory Academy (Oakland Unified),Oakland Unified,Alameda
Aspire Monarch Academy (Oakland Unified),Oakland Unified,Alameda
